,Accuracy,Precision,Recall,F1-score,AUC,MCC
ESM2(t6),0.9389674353922819,0.9332500200639754,0.9452909069794448,0.9392318742752306,0.9797396331207282,0.8780103917789137
ESM2(t6)-Freeze,0.9401089349866728,0.9398305084745763,0.9401579375217745,0.9399941944847605,0.9830449306968528,0.8802174888234441
ESM2(t6)-GAS,0.9365801367481748,0.9322361384259739,0.9413192428289398,0.9367556729207959,0.9818024853760074,0.87320356891393
ESM2(t6)-Freeze-GAS,0.935392281840306,0.9325946445060018,0.938334688189525,0.9354558610709116,0.9812567018308802,0.8708020823978937
ESM2(t30),0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.4998986035555496,0.0
ESM2(t30)-Freeze,0.9392513616873334,0.9303680772119916,0.949297410289165,0.9397374290115651,0.9786820091298984,0.8786884592867074
ESM2(t30)-GAS,0.9345694750260749,0.9337275362318841,0.9352456160724655,0.9344859596194013,0.980837032053356,0.8691399674346117
ESM2(t30)-Freeze-GAS,0.9362904160389385,0.9319088745011902,0.941075368714435,0.9364696909289466,0.9817602985130793,0.8726249243709596
TAPE,0.4989570054467493,0.4989570054467493,1.0,0.6657389153040318,0.5110771236996439,0.0
TAPE-Freeze,0.9395179047398308,0.9404246403128929,0.9382185576588085,0.9393203036891488,0.9815090352628403,0.8790371010378881
TAPE-GAS,0.9414822111484529,0.9352389459580169,0.9483915921495761,0.9417693491936274,0.9841243090505383,0.8830543001632413
TAPE-Freeze-GAS,0.9359079847027465,0.9297108502719725,0.9428289397282545,0.9362239455703866,0.9819684891818172,0.8719056077923116
